enhet_kode,maned,dimensjon,maling,antall_avvik,antall_rader,andel_avvik_pst
BUP,2023-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,457,1054,43.36
BUP,2025-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,407,975,41.74
DPS,2023-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,390,1086,35.91
ORT,2025-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,150,903,16.61
TSB,2022-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,476,1114,42.73
BUP,2023-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,448,1121,39.96
KIR,2022-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,246,1100,22.36
KIR,2025-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,403,1830,22.02
REH,2022-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,355,1041,34.1
BUP,2024-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,443,1038,42.68
REH,2025-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,366,1020,35.88
MED,2025-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,290,1082,26.8
BUP,2022-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,763,1836,41.56
ONK,2025-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,78,1036,7.53
BUP,2023-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,444,1038,42.77
TSB,2023-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,507,1059,47.88
KIR,2022-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,213,1069,19.93
TSB,2025-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,469,1033,45.4
REH,2023-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,323,1022,31.6
TSB,2022-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,476,1089,43.71
TSB,2024-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,466,1043,44.68
ORT,2024-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,312,1859,16.78
TSB,2024-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,503,1081,46.53
REH,2023-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,353,1001,35.26
REH,2022-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,430,1100,39.09
ORT,2023-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,202,1076,18.77
ONK,2025-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,119,1884,6.32
MED,2025-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,480,1871,25.65
TSB,2022-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,482,1053,45.77
REH,2024-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,383,1080,35.46
TSB,2024-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,476,1047,45.46
TSB,2025-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,481,1047,45.94
MED,2022-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,279,1107,25.2
REH,2024-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,356,1046,34.03
DPS,2023-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,328,989,33.16
ORT,2025-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,203,1043,19.46
REH,2025-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,340,1023,33.24
ORT,2023-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,180,1018,17.68
ORT,2025-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,212,1048,20.23
TSB,2025-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,484,1038,46.63
ONK,2022-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,58,1001,5.79
DPS,2022-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,322,1029,31.29
REH,2024-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,359,1051,34.16
ONK,2022-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,66,1082,6.1
BUP,2024-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,447,1041,42.94
ORT,2025-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,197,1077,18.29
REH,2025-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,384,1063,36.12
REH,2022-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,402,1095,36.71
KIR,2025-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,242,1102,21.96
TSB,2023-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,438,991,44.2
MED,2022-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,295,1058,27.88
MED,2024-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,293,1041,28.15
ORT,2024-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,205,1059,19.36
KIR,2022-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,235,946,24.84
ONK,2023-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,115,1883,6.11
MED,2023-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,492,1857,26.49
DPS,2025-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,356,1061,33.55
ORT,2022-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,174,1050,16.57
KIR,2024-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,248,1039,23.87
ORT,2023-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,185,980,18.88
DPS,2023-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,357,1062,33.62
BUP,2022-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,437,1029,42.47
ONK,2024-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,75,1022,7.34
BUP,2022-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,461,1036,44.5
KIR,2024-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,230,1046,21.99
ORT,2023-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,178,1072,16.6
TSB,2023-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,478,1080,44.26
ORT,2024-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,153,941,16.26
REH,2023-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,385,1088,35.39
DPS,2022-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,325,1021,31.83
KIR,2025-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,236,1048,22.52
BUP,2024-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,420,1019,41.22
KIR,2025-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,236,973,24.25
REH,2022-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,381,1070,35.61
REH,2023-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,380,1088,34.93
KIR,2023-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,253,1106,22.88
KIR,2022-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,403,1852,21.76
TSB,2024-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,482,1068,45.13
REH,2023-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,352,923,38.14
KIR,2023-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,234,1072,21.83
BUP,2022-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,434,1072,40.49
REH,2024-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,368,1039,35.42
KIR,2024-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,220,1054,20.87
